,sentence,metaphor,simile,question,reference,figure_of_speech,lists,repetition,personal_statement,value_statement,explicit_goal,believe_statement,It is a rare honor in this life to follow one of your heroes,0,0.1,0.2,0.3,0.4,0.5,0.6,1,0.7,0.8,0.9,Sentence,Metaphor refers to a word or phrase used to describe an object or action that is different from its original meaning. ,Lists are composed of at least three parts and usually a maximum of five. Can be explicit (using numbers) or implicit. ,The speaker clearly expresses that he/she truly believes that the vision and goal can be achieved. ,"Most of all, we must champion the American worker and the American small business",1.1,Oh my gosh! Oh my goodness! Thank you all so much,Unnamed: 13
0,"All right, good afternoon everybody, and welcome to our first, virtual, uh, press briefing.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,Im here with Paul Mounds and Roland Cook Ill introduce in a minute.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,Just to give you our briefing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
3,"First of all, in terms of where we are in the numbers.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,"Um, another 1200 people tested positive at a 3,400 tests.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,I think what makes that interesting or not is that really is a reflection of the number of tests weve had.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,"A 36% testing positive is a slightly higher, but thats a number that goes up and down, and well talk about why that may not be the best indicator of whats going on.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
7,"I think of, uh, real interest to me as I look at hospitalization.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8,You see 79 people hospitalize.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
9,"Thats a number, again, thats going up not exponentially, but going up on a linear basis, which is, I think, good news.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
10,"Um, 17 fatalities is never good news.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
11,"Uh, but again, its a number thats not going up exponentially.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
12,And what that means is it gives us capacity to plan.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
13,And this is following what our modeling has been.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
14,And I start with our healthcare system.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15,"Our healthcare system is bending, but its not breaking.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,And thats because we did built in capacity in terms of everything were trying to do.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
17,"And that capacity, as Ive described in terms of other briefings, in terms of beds, in terms of people, in terms of icu were planning accordingly for what weve gotta do.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18,And this linear allows us to plan even more.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
19,"Ill tell you that the capacity is important in terms of a lot of our other functions that were performing um, you know, as a state as well.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20,We talked about nursing homes over the last couple days.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
21,"Obviously the infection rate in the nursing homes is, uh, is high and continues to grow.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
22,"The good news is there we have several nursing homes, a thousand beds, were getting them online, were gonna have covid only nursing homes, and that means were gonna have covid free nursing homes.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
23,And that gives us a lot more confidence that well be able to contain the virus.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
24,And a Kirkland Washington type situation is a little less likely to occure.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
25,"Obviously, other group settings include the homeless.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
26,"And again, they are folks living in close quarters where we gotta be able to quarantine out those who have tested or contact somebody who is  covid positive and get them quarantined.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
